DateTime,AddedIPs,RemovedIPs
1587174042,4,2
1587175951,0,3
1587177855,4,3
1587179775,2,1
1587181796,4,3
1587183615,3,2
1587185531,2,2
1587187463,1,3
1587189407,1,5
1587191293,1,0
1587194430,2,5
1587196332,1,5
1587198266,2,3
1587200178,1,2
1587202121,2,4
1587204192,1,1
1587206182,3,2
1587208102,2,3
1587210045,1,1
1587211946,1,1
1587213858,1,2
1587215776,2,0
1587217706,0,1
1587219624,0,1
1587221560,1,1
1587223463,0,1
1587225370,2,1
1587231384,1,2
1587233294,0,2
1587235221,1,0
1587239053,1,1
1587244811,1,0
1587246750,0,1
1587248666,0,1
1587250608,0,1
1587252489,0,2
1587256404,2,1
1587258259,1,2
1587260258,1,3
1587264021,0,3
1587265955,1,1
1587267857,1,3
1587269789,2,3
1587271744,0,3
1587273613,2,0
1587275531,0,1
1587277461,1,3
1587279376,0,1
1587281316,1,2
1587283321,1,0
1587285137,2,6
1587287069,1,0
1587288987,2,4
1587290928,0,2
1587292854,0,2
1587294748,0,2
1587296655,2,1
1587298593,1,1
1587300510,1,1
1587302436,2,2
1587306250,5,0
1587308301,1,0
1587310177,1,0
1587312179,1,2
1587318011,1,1
1587320188,1,0
1587322097,1,1
1587325957,1,1
1587327857,1,0
1587329826,2,0
1587331692,0,1
1587334611,3,0
1587336532,3,0
1587338412,3,0
1587340333,3,1
1587342263,4,1
1587344175,4,1
1587346092,4,2
1587349217,6,0
1587351141,4,1
1587353120,2,0
1587354981,3,2
1587356889,4,1
1587359787,3,2
1587361706,1,0
1587363662,2,0
1587365538,1,0
1587367571,1,0
1587369555,5,2
1587371469,1,2
1587373610,4,1
1587375535,1,2
1587377484,2,1
1587379452,1,0
1587381626,1,1
1587383579,2,2
1587387443,0,2
1587389881,0,1
1587392153,0,5
1587394106,0,1
1587398108,0,2
1587400123,1,0
1587404280,0,1
1587408254,0,1
1587410179,1,0
1587412062,0,1
1587414015,1,1
1587416295,0,2
1587420283,0,2
1587422189,0,1
1587424093,0,2
1587426014,0,4
1587427979,1,4
1587429854,0,4
1587432736,1,3
1587434719,0,3
1587436692,1,6
1587438507,0,3
1587440418,2,3
1587442350,2,5
1587444264,0,6
1587446175,1,0
1587448108,0,1
1587450021,0,4
1587451953,1,1
1587453888,1,0
1587455803,0,4
1587457699,0,1
1587459793,0,4
1587461805,2,1
1587463707,2,2
1587465622,0,1
1587467573,0,1
1587469475,4,3
1587471456,2,0
1587475243,2,0
1587477170,3,0
1587479096,1,0
1587480976,1,0
1587485851,1,2
1587489622,1,0
1587491584,1,0
1587495477,3,0
1587497664,3,0
1587499482,1,0
1587501384,1,1
1587509307,1,0
1587511228,1,0
1587513168,1,1
1587515073,1,0
1587518955,1,1
1587521027,1,1
1587523221,3,1
1587525149,4,0
1587527087,0,3
1587528973,1,1
1587530893,3,1
1587533065,4,1
1587535452,2,0
1587537266,2,0
1587539441,3,1
1587541463,1,1
1587543371,2,0
1587545299,2,0
1587547260,1,0
1587549138,2,3
1587555168,1,1
1587557143,0,4
1587558981,2,0
1587560922,2,1
1587562853,0,2
1587564749,0,1
1587566671,1,2
1587570511,1,1
1587572415,0,1
1587574352,1,0
1587576289,0,1
1587578171,1,1
1587580100,3,0
1587582151,0,3
1587583968,3,2
1587585891,1,1
1587587791,0,1
1587591617,2,0
1587595460,0,1
1587599305,1,0
1587601235,2,1
1587605067,0,1
1587608929,0,3
1587610997,0,4
1587612989,0,2
1587616824,3,3
1587618745,0,4
1587620665,1,2
1587622572,2,1
1587624518,0,3
1587626455,1,2
1587628381,1,0
1587630252,0,3
1587632185,1,2
1587634139,0,2
1587636186,2,1
1587640356,2,1
1587642254,2,0
1587646336,0,4
1587648280,1,0
1587650578,0,1
1587652407,0,1
1587660032,0,1
1587663859,2,0
1587665800,0,1
1587667788,2,3
1587669624,1,1
1587671551,0,2
1587673612,0,2
1587675720,1,1
1587677546,2,2
1587689069,0,2
1587690971,1,1
1587692904,1,0
1587694824,1,0
1587696748,2,0
1587702777,1,1
1587704695,1,2
1587706586,1,0
1587708504,3,4
1587710418,1,0
1587712378,1,1
1587714256,1,0
1587716172,0,1
1587718104,1,0
1587720043,2,1
1587722000,0,1
1587723871,4,1
1587725801,0,1
1587727696,1,2
1587731784,1,0
1587733739,2,0
1587735613,0,1
1587739466,1,0
1587743300,2,0
1587749307,0,2
1587755557,1,2
1587761325,1,0
1587763231,0,2
1587765142,0,1
1587767049,1,0
1587773776,2,0
1587777855,0,2
1587779793,0,2
1587781716,1,2
1587784590,1,2
1587786491,1,0
1587788428,1,1
1587790335,0,1
1587792262,3,0
1587794183,0,2
1587796096,1,3
1587798168,1,1
1587800170,4,0
1587802102,2,0
1587804014,2,1
1587806217,3,4
1587810122,0,4
1587813869,2,1
1587815801,1,0
1587817696,2,1
1587819772,5,1
1587821786,1,0
1587827773,0,1
1587829703,1,1
1587831615,1,0
1587833537,1,0
1587835473,0,1
1587837373,1,0
1587841313,1,0
1587843140,0,1
1587845057,1,0
1587846987,1,0
1587848901,0,1
1587850816,1,0
1587852755,1,1
1587858508,0,1
1587860414,2,0
1587862339,2,0
1587864265,2,0
1587866179,3,0
1587868105,0,1
1587870192,0,1
1587874105,1,2
1587876043,1,1
1587877952,0,2
1587879856,3,1
1587881776,0,1
1587883711,1,1
1587885663,1,2
1587887557,1,3
1587889480,0,1
1587891399,0,3
1587893564,4,2
1587895540,7,0
1587899332,1,1
1587901240,1,1
1587903152,1,2
1587905056,0,4
1587906981,0,2
1587912738,1,0
1587916603,1,1
1587918524,1,2
1587925250,0,1
1587927137,1,2
1587932898,1,1
1587935087,0,1
1587937042,0,1
1587938895,0,1
1587946583,0,2
1587948500,1,1
1587950431,1,2
1587952345,0,1
1587954268,2,1
1587956204,3,1
1587960172,3,0
1587962188,1,0
1587964095,0,1
1587967497,1,2
1587971308,0,2
1587973230,1,1
1587975163,2,1
1587977073,2,0
1587978985,0,1
1587980902,1,11
1587982839,3,0
1587988603,0,2
1587990500,1,0
1587993385,0,1
1587995313,1,0
1587999146,0,1
1588001076,1,1
1588002996,0,1
1588004923,0,1
1588007000,1,0
1588008991,1,0
1588012833,2,0
1588014773,0,1
1588020505,0,1
1588024335,1,0
1588028186,1,0
1588035145,1,3
1588037090,1,0
1588038974,1,0
1588040897,0,1
1588042942,1,3
1588044753,1,1
1588046722,4,1
1588048620,1,1
1588050582,1,0
1588052433,1,0
1588054358,1,1
1588060105,0,1
1588062012,0,1
1588063946,1,2
1588065863,2,1
1588067795,1,0
1588069722,0,3
1588072613,5,0
1588074504,2,0
1588076447,0,1
1588078356,2,0
1588080266,1,0
1588088175,0,1
1588092051,0,1
1588095866,1,1
1588099698,0,2
1588101634,1,1
1588105460,2,0
1588111323,1,0
1588115062,0,1
1588124934,0,4
1588128749,0,1
1588130668,0,3
1588132573,0,3
1588134495,0,2
1588137373,1,2
1588141241,1,2
1588143133,1,0
1588145070,2,0
1588148892,1,0
1588150938,0,1
1588153033,1,2
1588154905,0,1
1588158744,0,5
1588160658,0,2
1588164731,0,2
1588166688,1,1
1588168584,1,0
1588182049,0,1
1588183937,1,0
1588187775,2,1
1588191626,6,2
1588197394,0,1
1588205066,1,0
1588206978,1,0
1588208907,1,0
1588210901,1,0
1588212754,1,0
1588216594,2,0
1588218542,1,0
1588220430,1,0
1588222348,2,1
1588226238,0,1
1588230224,3,1
1588232184,2,1
1588234095,1,2
1588236015,3,0
1588237945,1,0
1588239856,2,1
1588252858,0,1
1588254747,0,1
1588256666,1,0
1588270596,1,1
1588274888,0,2
1588277791,1,6
1588287423,1,0
1588292455,0,1
1588294331,1,2
1588296266,1,0
1588298175,2,1
1588302210,2,1
1588304209,0,2
1588306107,1,1
1588308023,0,1
1588309978,1,0
1588313799,1,0
1588317723,2,4
1588319644,0,1
1588321456,0,1
1588323421,3,1
1588325306,1,2
1588327488,0,1
1588329390,2,0
1588331298,2,0
1588335149,0,1
1588337074,1,0
1588340928,0,1
1588342821,1,1
1588346673,1,0
1588350527,0,1
1588353622,0,1
1588355542,1,1
1588365373,0,1
1588373300,2,1
1588377138,1,0
1588381014,1,1
1588382890,1,0
1588386023,1,2
1588387952,1,2
1588389919,1,0
1588391782,1,1
1588393702,1,0
1588395846,1,1
1588397658,1,0
1588399485,2,1
1588401380,2,0
1588403341,1,1
1588405233,1,1
1588408124,1,0
1588410078,1,3
1588411949,1,1
1588415780,0,2
1588417698,0,2
